2025-04-05 01:00:03 | Temperatura: 25°C | Humedad: 52% | CO2: 1138.0 ppm | Sonido: 37.3 dB | Luz: 0.0 Lux
2025-04-05 01:00:07 | Temperatura: 24°C | Humedad: 51% | CO2: 1139.9 ppm | Sonido: 29.5 dB | Luz: 13.8 Lux
2025-04-05 01:00:11 | Temperatura: 24°C | Humedad: 51% | CO2: 1137.4 ppm | Sonido: 37.3 dB | Luz: 0.0 Lux
2025-04-05 01:00:15 | Temperatura: 24°C | Humedad: 51% | CO2: 1132.7 ppm | Sonido: 37.6 dB | Luz: 0.0 Lux
2025-04-05 01:00:18 | Temperatura: 24°C | Humedad: 52% | CO2: 1139.8 ppm | Sonido: 32.8 dB | Luz: 7.0 Lux
2025-04-05 01:00:22 | Temperatura: 24°C | Humedad: 52% | CO2: 1139.5 ppm | Sonido: 37.1 dB | Luz: 0.0 Lux
2025-04-05 01:00:26 | Temperatura: 24°C | Humedad: 52% | CO2: 1136.9 ppm | Sonido: 31.9 dB | Luz: 0.0 Lux
2025-04-05 01:00:30 | Temperatura: 24°C | Humedad: 52% | CO2: 1137.0 ppm | Sonido: 37.3 dB | Luz: 0.0 Lux
2025-04-05 01:00:34 | Temperatura: 24°C | Humedad: 52% | CO2: 1138.3 ppm | Sonido: 21.4 dB | Luz: 29.6 Lux
2025-04-05 01:00:38 | Temperatura: 24°C | Humedad: 52% | CO2: 1135.8 ppm | Sonido: 30.0 dB | Luz: 6.9 Lux
2025-04-05 01:00:42 | Temperatura: 24°C | Humedad: 52% | CO2: 1139.5 ppm | Sonido: 20.7 dB | Luz: 40.3 Lux
2025-04-05 01:00:46 | Temperatura: 24°C | Humedad: 52% | CO2: 1139.0 ppm | Sonido: 26.8 dB | Luz: 21.5 Lux
2025-04-05 01:00:50 | Temperatura: 24°C | Humedad: 52% | CO2: 1138.3 ppm | Sonido: 35.1 dB | Luz: 2.3 Lux
2025-04-05 01:00:54 | Temperatura: 24°C | Humedad: 52% | CO2: 1136.3 ppm | Sonido: 36.5 dB | Luz: 0.0 Lux
2025-04-05 01:01:07 | Temperatura: 24°C | Humedad: 52% | CO2: 1138.4 ppm | Sonido: 36.3 dB | Luz: 0.0 Lux
2025-04-05 01:01:11 | Temperatura: 24°C | Humedad: 52% | CO2: 1144.6 ppm | Sonido: 21.4 dB | Luz: 11.9 Lux
2025-04-05 01:01:15 | Temperatura: 24°C | Humedad: 52% | CO2: 1142.2 ppm | Sonido: 29.2 dB | Luz: 4.7 Lux
2025-04-05 01:02:43 | Temperatura: 24°C | Humedad: 52% | CO2: 1113.5 ppm | Sonido: 24.7 dB | Luz: 1.8 Lux
2025-04-05 01:02:47 | Temperatura: 25°C | Humedad: 52% | CO2: 1135.8 ppm | Sonido: 29.2 dB | Luz: 1.3 Lux
2025-04-05 01:02:51 | Temperatura: 25°C | Humedad: 52% | CO2: 1138.8 ppm | Sonido: 30.2 dB | Luz: 0.7 Lux
2025-04-05 01:02:55 | Temperatura: 25°C | Humedad: 52% | CO2: 1135.8 ppm | Sonido: 26.5 dB | Luz: 1.6 Lux
